DEFINIENDUM,CATEGORY,CATEGORY_TEXT,SENTENCE,*,AFFECTS,COMPOSITION_MEDIUM,CONTAINS,DEFINED_AS,DEFINITOR,GENUS,HAS_ATTRIBUTE,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_POSITION,HAS_RESULT,HAS_SIZE,MEASURES,OCCURS_IN_MEDIUM,OCCURS_IN_TIME,SPECIES,STUDIES,frame_ATTRIBUTE,frame_CAUSE,frame_COMPOSITION,frame_CONTAINS,frame_DEFINED_AS,frame_FORM,frame_FUNCTION,frame_LOCATION,frame_MEASURES,frame_MEDIUM,frame_POSITION,frame_RESULT,frame_SIZE,frame_STUDIES,frame_TIME
epikarst,C. Geome|C. Geome,subcutaneous zone|epikarst,The highly corroded zone near the surface is termed the epikarst or subcutaneous zone.,,,,,,is termed,highly corroded zone,,,highly corroded,,near the surface,,,,,,,,,,,,,,,,near the,,,,,,,
estavelle,A.3 Hydrological form|A.3 Hydrological form|A.2 Underground landform|D.3.1 Geolocation|A.3 Hydrological form,swallow hole|estavelle|hole|Jura|spring,The term estavelle was first used in the Jura but is now used fairly widely for a hole which is at one time of the year a swallow hole and at another time a spring.,,,,,,is now used fairly widely for a|The term,hole,,,,,,,,,,,at one time of the year a swallow hole and at another time a spring,,,,,,,,,,,,,,,,,at one time of the year
cupola,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Halb-kugel|limestone|Cupole|cupola|hill,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.,,,of limestone,,,,hill,,,A hemispheric hill,,,,,,,,,,,,,of,,,,,,,,,,,,
Halb-kugel,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Halb-kugel|limestone|Cupole|cupola|hill,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.,,,of limestone,,,,hill,,,A hemispheric hill,,,,,,,,,,,,,of,,,,,,,,,,,,
Cupole,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,Halb-kugel|limestone|Cupole|cupola|hill,cupola: A hemispheric hill of limestone. Cupole. Halb-kugel.,,,of limestone,,,,hill,,,A hemispheric hill,,,,,,,,,,,,,of,,,,,,,,,,,,
current marking,A.1 Surface landform|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,limestone surfaces|current marking|hollows|waterflow|scallop,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop.",,,,,,,hollows,,caused by turbulent waterflow,Shallow|asymmetrical,,distributed in rather regular fashion over limestone surfaces,,,,,,,,,,caused by,,,,,,distributed in,,,,,,,
scallop,A.1 Surface landform|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform,limestone surfaces|current marking|hollows|waterflow|scallop,"current marking: Shallow asymmetrical hollows, caused by turbulent waterflow, that are distributed in rather regular fashion over limestone surfaces. See also scallop.",,,,,,,hollows,,caused by turbulent waterflow,Shallow|asymmetrical,,distributed in rather regular fashion over limestone surfaces,,,,,,,,,,caused by,,,,,,distributed in,,,,,,,
drapery,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.3 Property|A.2 Underground landform|D.3 Property|D.1 Abiotic,blanket|drapery|cave|flowstone|curtain|resonant|bacon|translucent|sheet,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.,,,,,,,,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,,,,,,,,,,,,,often,,,,,,,,,
bacon,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.3 Property|A.2 Underground landform|D.3 Property|D.1 Abiotic,blanket|drapery|cave|flowstone|curtain|resonant|bacon|translucent|sheet,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.,,,,,,,,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,,,,,,,,,,,,,often,,,,,,,,,
blanket,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.3 Property|A.2 Underground landform|D.3 Property|D.1 Abiotic,blanket|drapery|cave|flowstone|curtain|resonant|bacon|translucent|sheet,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.,,,,,,,,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,,,,,,,,,,,,,often,,,,,,,,,
curtain,A.2 Underground landform|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.3 Property|A.2 Underground landform|D.3 Property|D.1 Abiotic,blanket|drapery|cave|flowstone|curtain|resonant|bacon|translucent|sheet,curtain: A wavy or folded sheet of flowstone hanging from the roof or projecting from the wall of a cave; often translucent and resonant. See also bacon; blanket; drapery.,,,,,,,,,,wavy or folded sheet of flowstone|often translucent and resonant,,hanging from the roof or projecting from the wall of a cave,,,,,,,,,,,,,,often,,,,,,,,,
cutter,D.1 Abiotic|D.1 Abiotic|A.1 Surface landform|D.1 Abiotic,phosphate deposits|limestone|cutter|crevice,cutter: Solution crevice in limestone underlying residual phosphate deposits.,,,,,,,,,,Solution crevice in limestone,,underlying residual phosphate deposits,,,,,,,,,,,,,,,,underlying,,,,,,,
subsoil Karren,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,subsoil Karren|soil|Karren|cutter|groove,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren.",,,,,,,groove,,,Karren-like,,formed beneath the soil,,,,,,,,,,,,,,,,formed beneath,,,,,,,
Karren,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,subsoil Karren|soil|Karren|cutter|groove,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren.",,,,,,,groove,,,Karren-like,,formed beneath the soil,,,,,,,,,,,,,,,,formed beneath,,,,,,,
cutter,A.1 Surface landform|D.1 Abiotic|A.1 Surface landform|A.1 Surface landform|D.1 Abiotic,subsoil Karren|soil|Karren|cutter|groove,"cutter: A Karren-like groove formed beneath the soil, more commonly referred to as subsoil Karren. See also Karren.",,,,,,,groove,,,Karren-like,,formed beneath the soil,,,,,,,,,,,,,,,,formed beneath,,,,,,,
dead cave,A.2 Underground landform|D.3 Property|A.2 Underground landform|B.1 Movement,dead cave|precipitation|cave|solution,dead cave: A dry cave in which all solution and precipitation has cersed.,,,,,,,cave,dry,in which all solution and precipitation has cersed,,,,,,,,,,,,,,,,,,,,,,,,,,
doline,A.1 Surface landform|A.1 Surface landform|D.1 Abiotic|B.1 Movement|D.1 Abiotic|D.1 Abiotic|A.1 Surface landform,solution dolines|collapse dolines|basins|collapse|limestone|hollow|doline,"doline: A basin - or funnel-shaped hollow in limestone, ranging in diameter from a few meters to a kilometer and in depth from a few to several hundred meters. Some dolines are gentle grassy hollows; others are rocky cliff-bounded basins. A distinction may be made between those formed mainly by direct solution of the limestone surface zone, solution dolines, and those formed by collapse over a cave, collapse dolines, but it is generally not possible to establish the origin of individual examples.",,,in limestone,,,,hollow,,formed mainly by direct solution of the limestone surface zone|formed by collapse over a cave,Some dolines are gentle grassy hollows ; others are rocky cliff-bounded basins|basin - or funnel-shaped,,,,,ranging in diameter from a few meters to a kilometer|in depth from a few to several hundred meters,,,,collapse dolines|solution dolines,,,formed mainly by|formed by,,,,,,,,,,,ranging in diameter|in depth,,
doline lake,A.3 Hydrological form|A.3 Hydrological form|A.1 Surface landform,karst lake|doline lake|doline,doline lake: A small karst lake occupying a doline.,,,,,,,karst lake,,,,,occupying a doline,,,small,,,,,,,,,,,,,occupying a,,,,,,,
dolomite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,calcium magnesium carbonate|dolomite|mineral,dolomite: A mineral composed of calcium magnesium carbonate.,,,composed of calcium magnesium carbonate,,,,mineral,,,,,,,,,,,,,,,,composed of,,,,,,,,,,,,
dolostone,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,dolomite|dolostone|Rock|dolomite,dolomite: Rock chiefly composed of the mineral dolomite. Also called dolostone.,,,composed of the mineral dolomite,,,,Rock,,,,,,,,,,,,,,,,composed of,,,,,,,,,,,,
dolomite,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic,dolomite|dolostone|Rock|dolomite,dolomite: Rock chiefly composed of the mineral dolomite. Also called dolostone.,,,composed of the mineral dolomite,,,,Rock,,,,,,,,,,,,,,,,composed of,,,,,,,,,,,,
dolomitization,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|B. Process,magnesium carbonate|calcium carbonate|limestone|dolomite|dolomitization,dolomitization: The process whereby limestone becomes dolomite by the substitution of magnesium carbonate for part of the original calcium carbonate.,,,,,,,process,,by the substitution of magnesium carbonate for part of the original calcium carbonate,,whereby limestone becomes dolomite,,,,,,,,,,,,,,,,,,,,,,,,
drapery,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,drapery|bacon|dripstone|blanket|sheet|curtain,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket.",,,of dripstone,,,,sheet,,,thin sheet,,,,,,,,,,,,,of,,,,,,,,,,,,
bacon,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,drapery|bacon|dripstone|blanket|sheet|curtain,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket.",,,of dripstone,,,,sheet,,,thin sheet,,,,,,,,,,,,,of,,,,,,,,,,,,
curtain,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,drapery|bacon|dripstone|blanket|sheet|curtain,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket.",,,of dripstone,,,,sheet,,,thin sheet,,,,,,,,,,,,,of,,,,,,,,,,,,
blanket,A.2 Underground landform|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,drapery|bacon|dripstone|blanket|sheet|curtain,"drapery: A thin sheet of dripstone, equivalent to curtain. See also bacon; blanket.",,,of dripstone,,,,sheet,,,thin sheet,,,,,,,,,,,,,of,,,,,,,,,,,,
driphole,D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic,clay|Hole|rock|driphole|water,driphole: Hole in rock or clay produced by fast-dripping water.,,,in rock or clay,,,,Hole,,produced by fast-dripping water,,,,,,,,,,,,,produced by,in,,,,,,,,,,,,
driphole,D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|A.2 Underground landform,precipitated material|Hollow space|driphole|space|stalactite,"driphole: Hollow space surrounded by precipitated material, such as the bottom of a stalactite. space",,,,,,,Hollow space,,,Hollow,,"surrounded by precipitated material , such as the bottom of a stalactite",,,,,,,,,,,,,,,,surrounded by,,,,,,,
flowstone,D.1 Abiotic|A.4 Other|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,Calcium carbonate deposited|rock shelter|rock shelter|Calcium carbonate|aragonite|flowstone|gypsum|stalagmites|dripstone|water|stalactites|speleothems|cave,"dripstone: Calcium carbonate deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter; commonly refers to the rock in stalactites, stalagmites, and other similar speleothems; in some places composed of aragonite or gypsum. See also flowstone. Calcium carbonate rock shelter",,,"commonly refers to the rock in stalactites , stalagmites , and other similar speleothems|in some places composed of aragonite or gypsum",,,,Calcium carbonate,,deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,,,,,,,,,,,,,deposited from,composed of,,,,,,,,,,,,
dripstone,D.1 Abiotic|A.4 Other|A.1 Surface landform|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|A.2 Underground landform,Calcium carbonate deposited|rock shelter|rock shelter|Calcium carbonate|aragonite|flowstone|gypsum|stalagmites|dripstone|water|stalactites|speleothems|cave,"dripstone: Calcium carbonate deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter; commonly refers to the rock in stalactites, stalagmites, and other similar speleothems; in some places composed of aragonite or gypsum. See also flowstone. Calcium carbonate rock shelter",,,"commonly refers to the rock in stalactites , stalagmites , and other similar speleothems|in some places composed of aragonite or gypsum",,,,Calcium carbonate,,deposited from water dripping from the ceiling or wall of a cave or from the overhanging edge of a rock shelter,,,,,,,,,,,,,deposited from,composed of,,,,,,,,,,,,
dry cave,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,dry cave|running stream|dead cave|cave|stream,dry cave: A cave without a running stream. See also dead cave. stream,,,,,,,cave,A cave without a running stream,,,,,,,,,,,,,,,,,,,,,,,,,,,
outflow cave,A.2 Underground landform|D.1 Abiotic|A.2 Underground landform|D.1 Abiotic|B.1 Movement,outflow cave|surface|cave|stream|flows,outflow cave - a cave from which a stream flows or formerly did so and which cannot be followed upstream to the surface.,,,,,,,cave,which cannot be followed upstream to the surface,,,,,,from which a stream flows or formerly did,,,,,,,,,,,,,,,,,,from which a,,,
fossil ' karst ',D.1 Abiotic|C. Geome|D.3 Property|D.1 Abiotic|B. Process|D.3 Property|D.1 Abiotic|C. Geome,lithified cave fills|fossil ' karst|karst features|deposits|karstification|cave|breccias|palaeokarst,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias.",,,,,,,features,"characterized by the presence of ancient ( buried ) deposits , as lithified cave fills or breccias",remnant from a previous period of karstification,,,,,,,,,,,,characterized by,remnant from,,,,,,,,,,,,,
palaeokarst,D.1 Abiotic|C. Geome|D.3 Property|D.1 Abiotic|B. Process|D.3 Property|D.1 Abiotic|C. Geome,lithified cave fills|fossil ' karst|karst features|deposits|karstification|cave|breccias|palaeokarst,"palaeokarst ' fossil ' karst ' - cave or karst features remnant from a previous period of karstification, characterized by the presence of ancient (buried) deposits, as lithified cave fills or breccias.",,,,,,,features,"characterized by the presence of ancient ( buried ) deposits , as lithified cave fills or breccias",remnant from a previous period of karstification,,,,,,,,,,,,characterized by,remnant from,,,,,,,,,,,,,
pendulite,D.1 Abiotic|A.2 Underground landform|A.2 Underground landform|D.1 Abiotic,dog-tooth spar|stalactite|pendulite|drumstick,pendulite - a kind of stalactite which has been partly submerged and the submerged part covered with dog-tooth spar to give the appearance of a drumstick.,,,,,,,stalactite,,which has been partly submerged,submerged part covered with dog-tooth spar to give the appearance of a drumstick,,,,,,,,,,,,,,,,,,,,,,,,,
